Jonas Blue, Moelogo	0	0	10	0	0
Jonas Blue, Kaskade, Olivia Noelle	0	0	10	0	0
Jonas Blue, Dakota	0	0	10	0	0
R3HAB	0	0	10	0	0
R3HAB, VÉRITÉ	0	0	10	0	0
R3HAB, Quintino	0	0	10	0	0
R3HAB, Rynn	0	0	10	0	0
R3HAB, Khrebto	0	0	10	0	0
R3HAB, Waysons	0	0	10	0	0
R3HAB, Little Daylight	0	0	10	0	0
R3HAB, Felix Cartal	0	0	10	0	0
R3HAB, R I T U A L	0	0	10	0	0
R3HAB, Skytech	0	0	10	0	0
David Guetta, Sam Martin	0	0	10	0	0
David Guetta, Emeli Sandé	0	0	10	0	0
David Guetta, Showtek, Elliphant, Ms. Dynamite	0	0	10	0	0
David Guetta, The Script	0	0	10	0	0
David Guetta, Ladysmith Black Mambazo, Nico & Vinz	0	0	10	0	0
David Guetta, John Legend	0	0	10	0	0
David Guetta, Sia	0	0	10	0	0
David Guetta, Bebe Rexha	0	0	10	0	0
David Guetta, Nicki Minaj, Bebe Rexha, Afrojack	0	0	10	0	0
David Guetta, Showtek, MAGIC!, Sonny Wilson	0	0	10	0	0
David Guetta, Ryan Tedder	0	0	10	0	0
David Guetta, Birdy, Jaymes Young	0	0	10	0	0
David Guetta, Showtek, VASSY	0	0	10	0	0
David Guetta, Skylar Grey	0	0	10	0	0
David Guetta, Sam Martin, Robin Schulz	0	0	10	0	0
David Guetta, Anne-Marie	0	0	10	0	0
David Guetta, Faouzia	0	0	10	0	0
David Guetta, Madison Beer	0	0	10	0	0
David Guetta, Bebe Rexha, J Balvin	0	0	10	0	0
Jason Derulo, David Guetta, Nicki Minaj, Willy William	0	0	10	0	0
David Guetta, Saweetie	0	0	10	0	0
David Guetta, Martin Garrix, Brooks	0	0	10	0	0
David Guetta, Justin Bieber	0	0	10	0	0
David Guetta, Jess Glynne, Stefflon Don	0	0	10	0	0
David Guetta, Steve Aoki, Lil Uzi Vert, G-Eazy, Mally Mall	0	0	10	0	0
Black Coffee, David Guetta, Delilah Montagu	0	0	10	0	0
David Guetta, J Balvin	0	0	10	0	0
David Guetta, Ava Max	0	0	10	0	0
Jack Back	0	0	10	0	0
David Guetta, CeCe Rogers	0	0	10	0	0
David Guetta, Chris Willis, Jack Back	0	0	10	0	0
ZAYN	0	0	10	0	0
ZAYN, Kehlani	0	0	10	0	0
ZAYN, Nicki Minaj	0	0	10	0	0
ZAYN, Timbaland	0	0	10	0	0
Shawn Mendes	0	0	10	0	0
Shawn Mendes, Julia Michaels	0	0	10	0	0
Shawn Mendes, Khalid	0	0	10	0	0
Jeremy Zucker	0	0	10	0	0
Jeremy Zucker, Daniel James 	0	0	10	0	0
Justin Bieber	0	0	10	0	0
Justin Bieber, Big Sean	0	0	10	0	0
Justin Bieber, Travis Scott	0	0	10	0	0
Justin Bieber, Halsey	0	0	10	0	0
Jack Ü, Skrillex, Diplo, Justin Bieber	0	0	10	0	0
Justin Bieber, Nas	0	0	10	0	0
Justin Bieber, R. Kelly	0	0	10	0	0
Justin Bieber, Chance the Rapper	0	0	10	0	0
Justin Bieber, Lil Wayne	0	0	10	0	0
Justin Bieber, Future	0	0	10	0	0
Kendrick Lamar	0	10	0	0	0
Kendrick Lamar, Rihanna	0	10	0	0	0
Kendrick Lamar, Zacari	0	10	0	0	0
Kendrick Lamar, U2	0	10	0	0	0
Kendrick Lamar, George Clinton, Thundercat	0	10	0	0	0
Kendrick Lamar, Bilal, Anna Wise, Snoop Dogg	0	10	0	0	0
Kendrick Lamar, Bilal, Anna Wise, Thundercat	0	10	0	0	0
