7uWVT3UkCAZyANvv0bdyQn	These Walls	Kendrick Lamar, Bilal, Anna Wise, Thundercat	To Pimp A Butterfly	300973	Rap	10
1bxEpNR75Hq3T2oF9AZjt8	u	Kendrick Lamar	To Pimp A Butterfly	268493	Rap	10
3iVcZ5G6tvkXZkZKlMpIUs	Alright	Kendrick Lamar	To Pimp A Butterfly	219333	Rap	10
7unx2Rvsq8D0RfOLRXclTA	For Sale? - Interlude	Kendrick Lamar	To Pimp A Butterfly	291720	Rap	10
0CjJqkWOpIUXdem5hUcxAk	Momma	Kendrick Lamar	To Pimp A Butterfly	283120	Rap	10
2UOYzhusMTypF7oAQwksCj	Hood Politics	Kendrick Lamar	To Pimp A Butterfly	292520	Rap	10
4tQcyj5488alHT1ZgFduzn	How Much A Dollar Cost	Kendrick Lamar, James Fauntleroy, Ronald Isley	To Pimp A Butterfly	261746	Rap	10
72hFOhhhnOJZnnp6uVOgPn	Complexion (A Zulu Love)	Kendrick Lamar, Rapsody	To Pimp A Butterfly	263360	Rap	10
5Mtt6tZSZA9cXTHGSGpyh0	The Blacker The Berry	Kendrick Lamar	To Pimp A Butterfly	328826	Rap	10
7A3ETuOrieyx9KSF0sn0Zf	You Ain't Gotta Lie (Momma Said)	Kendrick Lamar	To Pimp A Butterfly	241680	Rap	10
3ODXRUPL44f04cCacwiCLC	i	Kendrick Lamar	To Pimp A Butterfly	336013	Rap	10
1WT11QmhZutciEv1NsHt1R	Mortal Man	Kendrick Lamar	To Pimp A Butterfly	727106	Rap	10
68bPCu5uDE8bwwKMBiBUii	Sherane a.k.a Master Splinter’s Daughter	Kendrick Lamar	good kid, m.A.A.d city (Deluxe)	273640	Rap	10
77tV1XfYBdhIkeInvsy0DC	Bitch, Don’t Kill My Vibe	Kendrick Lamar	good kid, m.A.A.d city (Deluxe)	310720	Rap	10
3wtzWrddgtWoq7TYWMKwkD	Backseat Freestyle	Kendrick Lamar	good kid, m.A.A.d city (Deluxe)	212653	Rap	10
5JbemHJ9qUWPKNjqdEftrC	The Art of Peer Pressure	Kendrick Lamar	good kid, m.A.A.d city (Deluxe)	324533	Rap	10
3EE965qLbCCUaeuZHnR7aY	Money Trees	Kendrick Lamar, Jay Rock	good kid, m.A.A.d city (Deluxe)	386906	Rap	10
2Y1grgwNCnGjbNbpUqtjGe	Poetic Justice	Kendrick Lamar, Drake	good kid, m.A.A.d city (Deluxe)	300160	Rap	10
